ticker,date,forward_return,z_sentiment,mkt_rf,rf,smb_3,hml_3,smb_5,hml_5,rmw,cma,mom
ADBE,2015-02-19,-0.004760102027565716,-0.4726333738825294,-0.01,0.0,0.28,-0.38,0.22,-0.38,-0.04,-0.37,-0.56
ADBE,2015-02-20,-0.028007695635442587,-0.4726333738825294,0.61,0.0,-0.4,-0.27,-0.43,-0.27,-0.07,-0.11,0.54
ADBE,2015-02-23,-0.033930878074946436,-0.4726333738825294,-0.08,0.0,0.04,-0.37,0.03,-0.37,0.38,-0.19,0.92
ADBE,2015-02-25,-0.0653259702069553,-0.4726333738825294,0.01,0.0,0.23,-0.47,0.2,-0.47,-0.56,-0.23,-1.03
ADBE,2015-02-26,-0.07155523798619157,-0.4726333738825294,-0.08,0.0,0.67,-0.49,0.56,-0.49,-0.13,-0.32,0.28
ADBE,2015-03-02,-0.07331743836316551,-0.4726333738825294,0.62,0.0,0.24,-0.45,0.2,-0.45,0.05,0.1,0.32
ADBE,2015-03-03,-0.04962651316570432,-0.4726333738825294,-0.43,0.0,-0.32,0.32,-0.3,0.32,-0.07,0.0,-0.4
ADBE,2015-03-04,-0.025119116543010467,-0.4726333738825294,-0.41,0.0,0.12,-0.37,0.13,-0.37,-0.04,-0.3,0.03
ADBE,2015-03-05,-0.030399380643017615,-0.4726333738825294,0.15,0.0,0.27,-0.43,0.22,-0.43,-0.51,-0.2,-0.04
ADBE,2015-03-06,-0.024500341084587984,-0.4726333738825294,-1.29,0.0,0.29,0.42,0.3,0.42,-0.12,-0.02,0.1
ADBE,2015-03-10,0.0042099682387943815,-0.4726333738825294,-1.63,0.0,0.43,-0.54,0.43,-0.54,0.12,-0.15,0.45
ADBE,2015-03-11,0.00684116074795571,-0.4726333738825294,-0.03,0.0,0.54,0.51,0.6,0.51,-0.48,-0.06,-0.04
ADBE,2015-03-12,-0.017829520098279206,-0.4726333738825294,1.28,0.0,0.4,0.45,0.4,0.45,-0.05,0.23,0.67
ADBE,2015-03-16,-0.029362989888836566,-0.4726333738825294,1.24,0.0,-0.78,-0.38,-0.79,-0.38,-0.13,-0.16,0.63
ADBE,2015-03-17,-0.056615640583703275,-0.4657524747978086,-0.19,0.0,0.53,-0.01,0.52,-0.01,-0.01,-0.28,0.22
ADBE,2015-03-18,-0.04864088819687307,-0.4657524747978086,1.09,0.0,-0.53,0.02,-0.5,0.02,0.15,-0.03,-0.84
